Store,State,Date,Sales,MSA,DistributionCenter
Store-Fort Pierce FL,FL,5/20/2020,506.12,,DC-1
Store-Fort Pierce FL,FL,5/21/2020,3640.45,,DC-1
Store-Fort Pierce FL,FL,5/22/2020,3521.72,,DC-1
Store-Fort Pierce FL,FL,5/26/2020,3140.20,,DC-1
Store-Fort Pierce FL,FL,5/27/2020,-208.95,,DC-1
Store-Fort Pierce FL,FL,5/28/2020,977.78,,DC-1
Store-Fort Pierce FL,FL,5/29/2020,941.70,,DC-1
Store-Fort Pierce FL,FL,6/1/2020,6955.83,,DC-1
Store-Fort Pierce FL,FL,6/2/2020,5893.12,,DC-1
Store-Fort Pierce FL,FL,6/4/2020,2371.83,,DC-1
Store-Fort Pierce FL,FL,6/5/2020,4179.47,,DC-1
Store-Fort Pierce FL,FL,6/8/2020,2667.10,,DC-1
Store-Fort Pierce FL,FL,6/9/2020,1000.76,,DC-1
Store-Fort Pierce FL,FL,6/10/2020,1702.89,,DC-1
Store-Fort Pierce FL,FL,6/11/2020,3521.20,,DC-1
Store-Fort Pierce FL,FL,6/12/2020,3153.92,,DC-1
Store-Fort Pierce FL,FL,6/15/2020,1776.64,,DC-1
Store-Fort Pierce FL,FL,6/16/2020,2882.61,,DC-1
Store-Fort Pierce FL,FL,6/17/2020,30.74,,DC-1
Store-Fort Pierce FL,FL,6/18/2020,2962.42,,DC-1
Store-Fort Pierce FL,FL,6/19/2020,4153.15,,DC-1
Store-Fort Pierce FL,FL,6/22/2020,2023.14,,DC-1
Store-Fort Pierce FL,FL,6/23/2020,2291.62,,DC-1
Store-Fort Pierce FL,FL,6/24/2020,2664.67,,DC-1
Store-Fort Pierce FL,FL,6/25/2020,2605.15,,DC-1
Store-Fort Pierce FL,FL,6/26/2020,520.84,,DC-1
Store-Fort Pierce FL,FL,6/29/2020,1340.69,,DC-1
Store-Fort Pierce FL,FL,6/30/2020,3175.04,,DC-1
Store-Fort Pierce FL,FL,7/1/2020,2828.61,,DC-1
Store-Fort Pierce FL,FL,7/2/2020,9842.65,,DC-1
Store-Fort Pierce FL,FL,7/6/2020,1594.32,,DC-1
Store-Fort Pierce FL,FL,7/7/2020,108.58,,DC-1
Store-Fort Pierce FL,FL,7/8/2020,670.10,,DC-1
Store-Fort Pierce FL,FL,7/9/2020,3083.90,,DC-1
Store-Fort Pierce FL,FL,7/10/2020,4094.23,,DC-1
Store-Fort Pierce FL,FL,7/13/2020,576.13,,DC-1
Store-Fort Pierce FL,FL,7/14/2020,5603.64,,DC-1
Store-Fort Pierce FL,FL,7/16/2020,572.39,,DC-1
Store-Fort Pierce FL,FL,7/17/2020,8261.73,,DC-1
Store-Fort Pierce FL,FL,7/20/2020,1221.41,,DC-1
Store-Fort Pierce FL,FL,7/21/2020,3435.30,,DC-1
Store-Fort Pierce FL,FL,7/22/2020,1889.25,,DC-1
Store-Fort Pierce FL,FL,7/23/2020,2861.41,,DC-1
Store-Fort Pierce FL,FL,7/24/2020,3863.85,,DC-1
Store-Fort Pierce FL,FL,7/27/2020,2410.79,,DC-1
Store-Fort Pierce FL,FL,7/28/2020,1295.78,,DC-1
Store-Fort Pierce FL,FL,7/29/2020,3471.23,,DC-1
Store-Fort Pierce FL,FL,7/30/2020,3702.93,,DC-1
Store-Fort Pierce FL,FL,7/31/2020,3609.89,,DC-1
Store-Fort Pierce FL,FL,8/3/2020,5166.95,,DC-1
Store-Fort Pierce FL,FL,8/4/2020,5585.03,,DC-1
Store-Fort Pierce FL,FL,8/5/2020,93.64,,DC-1
Store-Fort Pierce FL,FL,8/6/2020,3355.45,,DC-1
Store-Fort Pierce FL,FL,8/7/2020,1193.33,,DC-1
Store-Fort Pierce FL,FL,8/10/2020,1127.05,,DC-1
Store-Fort Pierce FL,FL,8/11/2020,8694.41,,DC-1
Store-Fort Pierce FL,FL,8/13/2020,2633.80,,DC-1
Store-Fort Pierce FL,FL,8/14/2020,5489.16,,DC-1
Store-Fort Pierce FL,FL,8/17/2020,2160.39,,DC-1
Store-Fort Pierce FL,FL,8/18/2020,4246.28,,DC-1
Store-Fort Pierce FL,FL,8/20/2020,1304.85,,DC-1
Store-Fort Pierce FL,FL,8/21/2020,3947.04,,DC-1
Store-Fort Pierce FL,FL,8/24/2020,2490.86,,DC-1
Store-Fort Pierce FL,FL,8/25/2020,448.92,,DC-1
Store-Fort Pierce FL,FL,8/26/2020,1964.71,,DC-1
Store-Fort Pierce FL,FL,8/27/2020,2309.44,,DC-1
Store-Fort Pierce FL,FL,8/28/2020,84.48,,DC-1
Store-Fort Pierce FL,FL,8/31/2020,329.53,,DC-1
Store-Fort Pierce FL,FL,9/1/2020,8123.16,,DC-1
Store-Fort Pierce FL,FL,9/3/2020,7088.02,,DC-1
Store-Fort Pierce FL,FL,9/4/2020,2743.61,,DC-1
Store-Fort Pierce FL,FL,9/8/2020,1562.43,,DC-1
Store-Fort Pierce FL,FL,9/10/2020,4528.86,,DC-1
Store-Fort Pierce FL,FL,9/11/2020,3598.97,,DC-1
Store-Fort Pierce FL,FL,9/14/2020,4326.50,,DC-1
Store-Fort Pierce FL,FL,9/15/2020,2335.75,,DC-1
Store-Fort Pierce FL,FL,9/17/2020,4125.08,,DC-1
Store-Fort Pierce FL,FL,9/18/2020,912.86,,DC-1
Store-Fort Pierce FL,FL,9/21/2020,3243.21,,DC-1
Store-Fort Pierce FL,FL,9/22/2020,3694.18,,DC-1
Store-Fort Pierce FL,FL,9/24/2020,3178.69,,DC-1
Store-Fort Pierce FL,FL,9/25/2020,1796.60,,DC-1
Store-Fort Pierce FL,FL,9/28/2020,1520.23,,DC-1
Store-Fort Pierce FL,FL,9/29/2020,18864.04,,DC-1
Store-Fort Pierce FL,FL,10/1/2020,5790.67,,DC-1
Store-Fort Pierce FL,FL,10/2/2020,6183.71,,DC-1
Store-Fort Pierce FL,FL,10/5/2020,2867.57,,DC-1
Store-Fort Pierce FL,FL,10/6/2020,3473.86,,DC-1
Store-Fort Pierce FL,FL,10/9/2020,4880.00,,DC-1
Store-Fort Pierce FL,FL,10/12/2020,832.13,,DC-1
Store-Fort Pierce FL,FL,10/13/2020,22468.32,,DC-1
Store-Fort Pierce FL,FL,10/14/2020,1814.27,,DC-1
Store-Fort Pierce FL,FL,10/15/2020,5572.61,,DC-1
Store-Fort Pierce FL,FL,10/16/2020,3631.45,,DC-1
Store-Fort Pierce FL,FL,10/19/2020,4921.66,,DC-1
Store-Fort Pierce FL,FL,10/20/2020,2100.58,,DC-1
Store-Fort Pierce FL,FL,10/21/2020,845.98,,DC-1
Store-Fort Pierce FL,FL,10/22/2020,9855.18,,DC-1
Store-Fort Pierce FL,FL,10/23/2020,2463.71,,DC-1
Store-Fort Pierce FL,FL,10/26/2020,9695.37,,DC-1
Store-Fort Pierce FL,FL,10/27/2020,2369.72,,DC-1
Store-Fort Pierce FL,FL,10/29/2020,413.43,,DC-1
Store-Fort Pierce FL,FL,10/30/2020,3093.19,,DC-1
Store-Fort Pierce FL,FL,11/2/2020,10467.66,,DC-1
Store-Fort Pierce FL,FL,11/3/2020,9154.55,,DC-1
Store-Fort Pierce FL,FL,11/4/2020,48.84,,DC-1
Store-Fort Pierce FL,FL,11/5/2020,2333.63,,DC-1
Store-Fort Pierce FL,FL,11/6/2020,7149.38,,DC-1
Store-Fort Pierce FL,FL,11/9/2020,2720.08,,DC-1
Store-Fort Pierce FL,FL,11/10/2020,2586.29,,DC-1
Store-Fort Pierce FL,FL,11/11/2020,5447.74,,DC-1
Store-Fort Pierce FL,FL,11/12/2020,17458.02,,DC-1
Store-Fort Pierce FL,FL,11/13/2020,2399.60,,DC-1
Store-Fort Pierce FL,FL,11/16/2020,1521.39,,DC-1
Store-Fort Pierce FL,FL,11/17/2020,4357.63,,DC-1
Store-Fort Pierce FL,FL,11/18/2020,7323.96,,DC-1
Store-Fort Pierce FL,FL,11/19/2020,430.41,,DC-1
Store-Fort Pierce FL,FL,11/20/2020,5133.76,,DC-1
Store-Fort Pierce FL,FL,11/23/2020,834.48,,DC-1
Store-Fort Pierce FL,FL,11/24/2020,13688.75,,DC-1
Store-Fort Pierce FL,FL,11/25/2020,1938.84,,DC-1
Store-Fort Pierce FL,FL,11/30/2020,233.31,,DC-1
Store-Fort Pierce FL,FL,12/1/2020,5800.33,,DC-1
Store-Fort Pierce FL,FL,12/2/2020,437.02,,DC-1
Store-Fort Pierce FL,FL,12/3/2020,24453.53,,DC-1
Store-Fort Pierce FL,FL,12/4/2020,2638.30,,DC-1
Store-Fort Pierce FL,FL,12/7/2020,1219.22,,DC-1
Store-Fort Pierce FL,FL,12/8/2020,3309.76,,DC-1
Store-Fort Pierce FL,FL,12/9/2020,9730.59,,DC-1
Store-Fort Pierce FL,FL,12/10/2020,3405.62,,DC-1
Store-Fort Pierce FL,FL,12/11/2020,3279.77,,DC-1
Store-Fort Pierce FL,FL,12/14/2020,2318.85,,DC-1
Store-Fort Pierce FL,FL,12/15/2020,18783.84,,DC-1
Store-Fort Pierce FL,FL,12/16/2020,1083.39,,DC-1
Store-Fort Pierce FL,FL,12/17/2020,5324.10,,DC-1
Store-Fort Pierce FL,FL,12/18/2020,4121.31,,DC-1
Store-Fort Pierce FL,FL,12/21/2020,16084.97,,DC-1
Store-Fort Pierce FL,FL,12/22/2020,3000.10,,DC-1
Store-Fort Pierce FL,FL,12/23/2020,13217.31,,DC-1
Store-Fort Pierce FL,FL,12/28/2020,411.60,,DC-1
Store-Fort Pierce FL,FL,12/29/2020,14371.62,,DC-1
Store-Fort Pierce FL,FL,12/31/2020,121.51,,DC-1
Store-Fort Pierce FL,FL,1/4/2021,6911.13,,DC-1
Store-Fort Pierce FL,FL,1/5/2021,7037.24,,DC-1
Store-Fort Pierce FL,FL,1/6/2021,7765.73,,DC-1
Store-Fort Pierce FL,FL,1/7/2021,3812.97,,DC-1
Store-Fort Pierce FL,FL,1/8/2021,20082.01,,DC-1
Store-Fort Pierce FL,FL,1/11/2021,2628.37,,DC-1
Store-Fort Pierce FL,FL,1/12/2021,3919.62,,DC-1
Store-Fort Pierce FL,FL,1/13/2021,13757.52,,DC-1
Store-Fort Pierce FL,FL,1/14/2021,4903.74,,DC-1
Store-Fort Pierce FL,FL,1/15/2021,3828.60,,DC-1
Store-Fort Pierce FL,FL,1/18/2021,2843.68,,DC-1
Store-Fort Pierce FL,FL,1/19/2021,14291.81,,DC-1
Store-Fort Pierce FL,FL,1/20/2021,239.60,,DC-1
Store-Fort Pierce FL,FL,1/21/2021,3178.92,,DC-1
Store-Fort Pierce FL,FL,1/22/2021,14561.13,,DC-1
Store-Fort Pierce FL,FL,1/25/2021,1638.67,,DC-1
Store-Fort Pierce FL,FL,1/26/2021,17641.15,,DC-1
Store-Fort Pierce FL,FL,1/27/2021,567.94,,DC-1
Store-Fort Pierce FL,FL,1/28/2021,12241.93,,DC-1
Store-Fort Pierce FL,FL,1/29/2021,12917.91,,DC-1
Store-Fort Pierce FL,FL,2/1/2021,3787.76,,DC-1
Store-Fort Pierce FL,FL,2/2/2021,6713.10,,DC-1
Store-Fort Pierce FL,FL,2/3/2021,10373.75,,DC-1
Store-Fort Pierce FL,FL,2/4/2021,2596.95,,DC-1
Store-Fort Pierce FL,FL,2/5/2021,5497.82,,DC-1
Store-Fort Pierce FL,FL,2/8/2021,10807.04,,DC-1
Store-Fort Pierce FL,FL,2/9/2021,5185.86,,DC-1
Store-Fort Pierce FL,FL,2/10/2021,1465.93,,DC-1
Store-Fort Pierce FL,FL,2/11/2021,7989.01,,DC-1
Store-Fort Pierce FL,FL,2/12/2021,3779.99,,DC-1
Store-Fort Pierce FL,FL,2/15/2021,1488.88,,DC-1
Store-Fort Pierce FL,FL,2/16/2021,6435.38,,DC-1
Store-Fort Pierce FL,FL,2/17/2021,279.00,,DC-1
Store-Fort Pierce FL,FL,2/18/2021,14334.32,,DC-1
Store-Fort Pierce FL,FL,2/19/2021,3530.61,,DC-1
Store-Fort Pierce FL,FL,2/22/2021,9594.36,,DC-1
Store-Fort Pierce FL,FL,2/23/2021,10311.13,,DC-1
Store-Fort Pierce FL,FL,2/25/2021,993.34,,DC-1
Store-Fort Pierce FL,FL,2/26/2021,1421.44,,DC-1
Store-Fort Pierce FL,FL,3/1/2021,17691.44,,DC-1
Store-Fort Pierce FL,FL,3/2/2021,11968.00,,DC-1
Store-Fort Pierce FL,FL,3/4/2021,1107.71,,DC-1
Store-Fort Pierce FL,FL,3/5/2021,12840.13,,DC-1
Store-Fort Pierce FL,FL,3/8/2021,2076.17,,DC-1
Store-Fort Pierce FL,FL,3/9/2021,3875.42,,DC-1
Store-Fort Pierce FL,FL,3/10/2021,11254.89,,DC-1
Store-Fort Pierce FL,FL,3/11/2021,935.29,,DC-1
Store-Fort Pierce FL,FL,3/12/2021,3773.73,,DC-1
Store-Fort Pierce FL,FL,3/15/2021,2488.02,,DC-1
Store-Fort Pierce FL,FL,3/16/2021,3867.73,,DC-1
Store-Fort Pierce FL,FL,3/17/2021,16020.61,,DC-1
Store-Fort Pierce FL,FL,3/18/2021,1992.29,,DC-1
Store-Fort Pierce FL,FL,3/19/2021,4140.16,,DC-1
Store-Fort Pierce FL,FL,3/22/2021,4382.25,,DC-1
Store-Fort Pierce FL,FL,3/23/2021,14585.51,,DC-1
Store-Fort Pierce FL,FL,3/24/2021,4751.73,,DC-1
Store-Fort Pierce FL,FL,3/25/2021,3045.21,,DC-1
Store-Fort Pierce FL,FL,3/26/2021,4754.25,,DC-1
Store-Fort Pierce FL,FL,3/30/2021,20993.03,,DC-1
Store-Fort Pierce FL,FL,3/31/2021,-152.93,,DC-1
Store-Fort Pierce FL,FL,4/1/2021,3695.79,,DC-1
Store-Fort Pierce FL,FL,4/2/2021,9793.99,,DC-1
Store-Fort Pierce FL,FL,4/5/2021,17047.49,,DC-1
Store-Fort Pierce FL,FL,4/6/2021,2828.95,,DC-1
Store-Fort Pierce FL,FL,4/8/2021,11865.32,,DC-1
Store-Fort Pierce FL,FL,4/9/2021,5311.93,,DC-1
Store-Fort Pierce FL,FL,4/12/2021,811.39,,DC-1
Store-Fort Pierce FL,FL,4/13/2021,3877.31,,DC-1
Store-Fort Pierce FL,FL,4/14/2021,23249.61,,DC-1
Store-Fort Pierce FL,FL,4/15/2021,2520.53,,DC-1
Store-Fort Pierce FL,FL,4/16/2021,4875.14,,DC-1
Store-Fort Pierce FL,FL,4/19/2021,1596.29,,DC-1
Store-Fort Pierce FL,FL,4/20/2021,26979.06,,DC-1
Store-Fort Pierce FL,FL,4/22/2021,1820.32,,DC-1
Store-Fort Pierce FL,FL,4/23/2021,2567.90,,DC-1
Store-Fort Pierce FL,FL,4/26/2021,1719.80,,DC-1
Store-Fort Pierce FL,FL,4/27/2021,26900.99,,DC-1
Store-Fort Pierce FL,FL,4/29/2021,135.55,,DC-1
Store-Fort Pierce FL,FL,4/30/2021,2777.17,,DC-1
Store-Fort Pierce FL,FL,5/3/2021,25980.53,,DC-1
Store-Fort Pierce FL,FL,5/4/2021,12133.79,,DC-1
Store-Fort Pierce FL,FL,5/5/2021,75.21,,DC-1
Store-Fort Pierce FL,FL,5/6/2021,3615.63,,DC-1
Store-Fort Pierce FL,FL,5/7/2021,13293.09,,DC-1
Store-Fort Pierce FL,FL,5/10/2021,13352.54,,DC-1
Store-Fort Pierce FL,FL,5/11/2021,7159.35,,DC-1
Store-Fort Pierce FL,FL,5/13/2021,3523.63,,DC-1
Store-Fort Pierce FL,FL,5/14/2021,4215.41,,DC-1
Store-Fort Pierce FL,FL,5/17/2021,956.36,,DC-1
Store-Fort Pierce FL,FL,5/18/2021,14697.96,,DC-1
Store-Fort Pierce FL,FL,5/19/2021,1423.61,,DC-1
Store-Fort Pierce FL,FL,5/20/2021,17636.83,,DC-1
Store-Fort Pierce FL,FL,5/21/2021,3626.44,,DC-1
Store-Fort Pierce FL,FL,5/24/2021,301.10,,DC-1
Store-Fort Pierce FL,FL,5/25/2021,20740.04,,DC-1
Store-Fort Pierce FL,FL,5/26/2021,736.73,,DC-1
Store-Fort Pierce FL,FL,5/27/2021,12680.41,,DC-1
Store-Fort Pierce FL,FL,5/28/2021,1244.87,,DC-1
Store-Fort Pierce FL,FL,6/1/2021,5776.26,,DC-1
Store-Fort Pierce FL,FL,6/2/2021,16310.85,,DC-1
Store-Fort Pierce FL,FL,6/3/2021,4690.02,,DC-1
Store-Fort Pierce FL,FL,6/4/2021,33148.04,,DC-1
Store-Fort Pierce FL,FL,6/7/2021,1724.29,,DC-1
Store-Fort Pierce FL,FL,6/8/2021,3974.83,,DC-1
Store-Fort Pierce FL,FL,6/9/2021,3167.33,,DC-1
Store-Fort Pierce FL,FL,6/10/2021,2482.44,,DC-1
Store-Fort Pierce FL,FL,6/11/2021,4502.32,,DC-1
Store-Fort Pierce FL,FL,6/14/2021,2608.69,,DC-1
Store-Fort Pierce FL,FL,6/15/2021,29514.52,,DC-1
Store-Fort Pierce FL,FL,6/17/2021,6633.19,,DC-1
Store-Fort Pierce FL,FL,6/18/2021,276.04,,DC-1
Store-Fort Pierce FL,FL,6/21/2021,29525.56,,DC-1
Store-Fort Pierce FL,FL,6/22/2021,2137.30,,DC-1
Store-Fort Pierce FL,FL,6/23/2021,4099.31,,DC-1
Store-Fort Pierce FL,FL,6/24/2021,19326.35,,DC-1
Store-Fort Pierce FL,FL,6/25/2021,5540.87,,DC-1
Store-Fort Pierce FL,FL,6/28/2021,35621.13,,DC-1
Store-Fort Pierce FL,FL,6/29/2021,8189.45,,DC-1
Store-Fort Pierce FL,FL,7/1/2021,3562.57,,DC-1
Store-Fort Pierce FL,FL,7/2/2021,22199.08,,DC-1
Store-Fort Pierce FL,FL,7/6/2021,3850.72,,DC-1
Store-Fort Pierce FL,FL,7/7/2021,2589.81,,DC-1
Store-Fort Pierce FL,FL,7/8/2021,21505.99,,DC-1
Store-Fort Pierce FL,FL,7/9/2021,3959.55,,DC-1
Store-Fort Pierce FL,FL,7/12/2021,1602.21,,DC-1
Store-Fort Pierce FL,FL,7/13/2021,21623.60,,DC-1
Store-Fort Pierce FL,FL,7/14/2021,738.55,,DC-1
Store-Fort Pierce FL,FL,7/15/2021,3560.28,,DC-1
Store-Fort Pierce FL,FL,7/16/2021,16161.32,,DC-1
Store-Fort Pierce FL,FL,7/19/2021,2409.40,,DC-1
Store-Fort Pierce FL,FL,7/20/2021,18963.18,,DC-1
Store-Fort Pierce FL,FL,7/21/2021,361.63,,DC-1
Store-Fort Pierce FL,FL,7/22/2021,17159.49,,DC-1
Store-Fort Pierce FL,FL,7/23/2021,3542.41,,DC-1
Store-Fort Pierce FL,FL,7/26/2021,1195.86,,DC-1
Store-Fort Pierce FL,FL,7/27/2021,34042.72,,DC-1
Store-Fort Pierce FL,FL,7/28/2021,16.68,,DC-1
Store-Fort Pierce FL,FL,7/29/2021,327.84,,DC-1
Store-Fort Pierce FL,FL,7/30/2021,23746.85,,DC-1
Store-Fort Pierce FL,FL,8/2/2021,808.17,,DC-1
Store-Fort Pierce FL,FL,8/3/2021,5346.72,,DC-1
Store-Fort Pierce FL,FL,8/4/2021,22672.99,,DC-1
Store-Fort Pierce FL,FL,8/5/2021,2684.88,,DC-1
Store-Fort Pierce FL,FL,8/6/2021,2206.52,,DC-1
Store-Fort Pierce FL,FL,8/9/2021,4067.16,,DC-1
Store-Fort Pierce FL,FL,8/10/2021,21954.57,,DC-1
Store-Fort Pierce FL,FL,8/12/2021,11755.87,,DC-1
Store-Fort Pierce FL,FL,8/13/2021,5123.54,,DC-1
Store-Fort Pierce FL,FL,8/16/2021,2788.49,,DC-1
Store-Fort Pierce FL,FL,8/17/2021,24529.92,,DC-1
Store-Fort Pierce FL,FL,8/18/2021,34.10,,DC-1
Store-Fort Pierce FL,FL,8/19/2021,2243.01,,DC-1
Store-Fort Pierce FL,FL,8/20/2021,3789.77,,DC-1
Store-Fort Pierce FL,FL,8/23/2021,1062.59,,DC-1
Store-Fort Pierce FL,FL,8/24/2021,26770.05,,DC-1
Store-Fort Pierce FL,FL,8/26/2021,3177.87,,DC-1
Store-Fort Pierce FL,FL,8/27/2021,25717.10,,DC-1
Store-Fort Pierce FL,FL,8/30/2021,211.11,,DC-1
Store-Fort Pierce FL,FL,8/31/2021,1786.42,,DC-1
Store-Fort Pierce FL,FL,9/1/2021,25466.31,,DC-1
Store-Fort Pierce FL,FL,9/2/2021,4932.48,,DC-1
Store-Fort Pierce FL,FL,9/7/2021,26755.17,,DC-1
Store-Fort Pierce FL,FL,9/9/2021,24452.90,,DC-1
Store-Fort Pierce FL,FL,9/10/2021,2237.10,,DC-1
Store-Fort Pierce FL,FL,9/13/2021,3666.72,,DC-1
Store-Fort Pierce FL,FL,9/14/2021,5566.13,,DC-1
Store-Fort Pierce FL,FL,9/15/2021,9594.97,,DC-1
Store-Fort Pierce FL,FL,9/16/2021,1018.18,,DC-1
Store-Fort Pierce FL,FL,9/17/2021,24423.47,,DC-1
Store-Fort Pierce FL,FL,9/20/2021,2153.23,,DC-1
Store-Fort Pierce FL,FL,9/21/2021,26632.12,,DC-1
Store-Fort Pierce FL,FL,9/23/2021,8431.45,,DC-1
Store-Fort Pierce FL,FL,9/27/2021,27291.52,,DC-1
Store-Fort Pierce FL,FL,9/28/2021,1348.81,,DC-1
Store-Fort Pierce FL,FL,9/29/2021,2381.38,,DC-1
Store-Fort Pierce FL,FL,9/30/2021,22966.02,,DC-1
Store-Fort Pierce FL,FL,10/1/2021,1110.54,,DC-1
